k,run_id,random_seed,dataset,inertia,silhouette,calinski_harabasz,inertia/samples,calinski_harabasz/samples,silhouette/samples
3,0,1,train,54555.39491715845,0.26967334062651527,3669.813054477964,6.761947808274473,0.4548603190974175,3.3425054614094605e-05
3,0,1,eval,17743.599382919023,0.2687775038467472,1233.374648853324,6.754320282801303,0.46949929533815155,0.0001023134769115901
3,1,2,train,54555.417302887865,0.26967334062651527,3669.813054477964,6.761950582906279,0.4548603190974175,3.3425054614094605e-05
3,1,2,eval,17743.43099716522,0.2687775038467472,1233.374648853324,6.754256184684134,0.46949929533815155,0.0001023134769115901
3,2,3,train,54553.73251948733,0.26817147516093187,3670.0521886751926,6.761741759976119,0.4548899589334646,3.3238903713551295e-05
3,2,3,eval,17737.768913142932,0.2672817520528335,1234.1836691635704,6.752100842460195,0.4698072589126648,0.00010174410051497278
3,3,4,train,54553.722330044555,0.26817147516093187,3670.0521886751926,6.761740497030807,0.4548899589334646,3.3238903713551295e-05
3,3,4,eval,17737.814346260595,0.2672817520528335,1234.1836691635704,6.7521181371376455,0.4698072589126648,0.00010174410051497278
3,4,5,train,54553.701184970916,0.26817147516093187,3670.0521886751917,6.761737876173886,0.4548899589334645,3.3238903713551295e-05
3,4,5,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,5,6,train,54555.39491715845,0.26967334062651527,3669.813054477964,6.761947808274473,0.4548603190974175,3.3425054614094605e-05
3,5,6,eval,17743.599382919027,0.2687775038467472,1233.374648853324,6.754320282801304,0.46949929533815155,0.0001023134769115901
3,6,7,train,54553.73251948733,0.26817147516093187,3670.052188675193,6.761741759976119,0.4548899589334647,3.3238903713551295e-05
3,6,7,eval,17737.768913142932,0.2672817520528335,1234.1836691635704,6.752100842460195,0.4698072589126648,0.00010174410051497278
3,7,8,train,54553.70118497092,0.26817147516093187,3670.0521886751926,6.761737876173887,0.4548899589334646,3.3238903713551295e-05
3,7,8,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,8,9,train,54555.39491715845,0.26967334062651527,3669.813054477964,6.761947808274473,0.4548603190974175,3.3425054614094605e-05
3,8,9,eval,17743.599382919027,0.2687775038467472,1233.374648853324,6.754320282801304,0.46949929533815155,0.0001023134769115901
3,9,10,train,54553.701184970916,0.26817147516093187,3670.052188675193,6.761737876173886,0.4548899589334647,3.3238903713551295e-05
3,9,10,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,10,11,train,54553.70118497092,0.26817147516093187,3670.052188675193,6.761737876173887,0.4548899589334647,3.3238903713551295e-05
3,10,11,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,11,12,train,54553.701184970916,0.26817147516093187,3670.052188675193,6.761737876173886,0.4548899589334647,3.3238903713551295e-05
3,11,12,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,12,13,train,54553.70118497092,0.26817147516093187,3670.0521886751926,6.761737876173887,0.4548899589334646,3.3238903713551295e-05
3,12,13,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,13,14,train,54555.39491715845,0.26967334062651527,3669.813054477964,6.761947808274473,0.4548603190974175,3.3425054614094605e-05
3,13,14,eval,17743.599382919027,0.2687775038467472,1233.374648853324,6.754320282801304,0.46949929533815155,0.0001023134769115901
3,14,15,train,54553.701184970916,0.26817147516093187,3670.0521886751926,6.761737876173886,0.4548899589334646,3.3238903713551295e-05
3,14,15,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,15,16,train,54700.14179180157,0.2738439768543748,3649.466104940861,6.779888670277835,0.4523383868295564,3.394199019018032e-05
3,15,16,eval,17688.5919029214,0.2736076742054029,1239.9750774893735,6.733381006060677,0.47201183003021446,0.00010415214092325957
3,16,17,train,54553.72233004456,0.26817147516093187,3670.0521886751917,6.761740497030808,0.4548899589334645,3.3238903713551295e-05
3,16,17,eval,17737.814346260595,0.2672817520528335,1234.1836691635704,6.7521181371376455,0.4698072589126648,0.00010174410051497278
3,17,18,train,54553.73251948733,0.26817147516093187,3670.0521886751926,6.761741759976119,0.4548899589334646,3.3238903713551295e-05
3,17,18,eval,17737.768913142932,0.2672817520528335,1234.1836691635704,6.752100842460195,0.4698072589126648,0.00010174410051497278
3,18,19,train,54555.39491715845,0.26967334062651527,3669.8130544779638,6.761947808274473,0.4548603190974174,3.3425054614094605e-05
3,18,19,eval,17743.599382919023,0.2687775038467472,1233.374648853324,6.754320282801303,0.46949929533815155,0.0001023134769115901
3,19,20,train,54553.70118497092,0.26817147516093187,3670.0521886751926,6.761737876173887,0.4548899589334646,3.3238903713551295e-05
3,19,20,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,20,21,train,54553.70118497092,0.26817147516093187,3670.0521886751926,6.761737876173887,0.4548899589334646,3.3238903713551295e-05
3,20,21,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,21,22,train,54553.70118497092,0.26817147516093187,3670.0521886751926,6.761737876173887,0.4548899589334646,3.3238903713551295e-05
3,21,22,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,22,23,train,54553.701184970916,0.26817147516093187,3670.0521886751917,6.761737876173886,0.4548899589334645,3.3238903713551295e-05
3,22,23,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,23,24,train,54553.72233004456,0.26817147516093187,3670.0521886751926,6.761740497030808,0.4548899589334646,3.3238903713551295e-05
3,23,24,eval,17737.814346260595,0.2672817520528335,1234.1836691635704,6.7521181371376455,0.4698072589126648,0.00010174410051497278
3,24,25,train,54553.701184970916,0.26817147516093187,3670.052188675193,6.761737876173886,0.4548899589334647,3.3238903713551295e-05
3,24,25,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,25,26,train,54553.72233004456,0.26817147516093187,3670.052188675193,6.761740497030808,0.4548899589334647,3.3238903713551295e-05
3,25,26,eval,17737.814346260595,0.2672817520528335,1234.1836691635704,6.7521181371376455,0.4698072589126648,0.00010174410051497278
3,26,27,train,54553.701184970916,0.26817147516093187,3670.0521886751917,6.761737876173886,0.4548899589334645,3.3238903713551295e-05
3,26,27,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,27,28,train,54555.39491715845,0.26967334062651527,3669.813054477964,6.761947808274473,0.4548603190974175,3.3425054614094605e-05
3,27,28,eval,17743.599382919027,0.2687775038467472,1233.374648853324,6.754320282801304,0.46949929533815155,0.0001023134769115901
3,28,29,train,54553.701184970916,0.26817147516093187,3670.0521886751926,6.761737876173886,0.4548899589334646,3.3238903713551295e-05
3,28,29,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
3,29,30,train,54553.701184970916,0.26817147516093187,3670.052188675193,6.761737876173886,0.4548899589334647,3.3238903713551295e-05
3,29,30,eval,17738.082890635953,0.2672817520528335,1234.1836691635704,6.752220361871318,0.4698072589126648,0.00010174410051497278
