k,run_id,random_seed,dataset,inertia,silhouette,calinski_harabasz
2,0,1,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,1,2,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,2,3,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,3,4,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,4,5,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,5,6,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,6,7,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,7,8,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,8,9,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,9,10,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,10,11,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,11,12,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,12,13,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,13,14,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,14,15,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,15,16,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,16,17,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,17,18,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,18,19,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,19,20,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,20,21,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,21,22,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,22,23,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,23,24,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,24,25,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,25,26,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,26,27,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,27,28,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,28,29,train,438.52241155677746,0.30319765641607566,95.16047848869201
2,29,30,train,438.52241155677746,0.30319765641607566,95.16047848869201
3,0,1,train,344.405428869535,0.3142800845203407,87.19416925256019
3,1,2,train,344.405428869535,0.3142800845203407,87.19416925256019
3,2,3,train,344.405428869535,0.3142800845203407,87.19416925256019
3,3,4,train,344.6849402132781,0.31503514208145234,87.04358644281827
3,4,5,train,345.9488316585201,0.31262041990258516,86.36572044020637
3,5,6,train,344.4341455934711,0.31546939784069966,87.17868725618092
3,6,7,train,344.405428869535,0.3142800845203407,87.19416925256019
3,7,8,train,344.405428869535,0.3142800845203407,87.19416925256019
3,8,9,train,344.6607914757499,0.31384595454509323,87.05658659682443
3,9,10,train,344.6607914757499,0.31384595454509323,87.05658659682443
3,10,11,train,344.405428869535,0.3142800845203407,87.19416925256019
3,11,12,train,344.405428869535,0.3142800845203407,87.19416925256019
3,12,13,train,344.405428869535,0.3142800845203407,87.19416925256019
3,13,14,train,344.405428869535,0.3142800845203407,87.19416925256019
3,14,15,train,345.20503469910585,0.31200836318195724,86.76404186354023
3,15,16,train,344.405428869535,0.3142800845203407,87.19416925256019
3,16,17,train,344.405428869535,0.3142800845203407,87.19416925256019
3,17,18,train,344.405428869535,0.3142800845203407,87.19416925256019
3,18,19,train,344.405428869535,0.3142800845203407,87.19416925256019
3,19,20,train,344.68733047877976,0.31331909414339,87.04229977401867
