k,run_id,random_seed,dataset,inertia,ssd_exp,silhouette,calinski_harabasz
6,2,3,train,394.9119625248417,-5.034124328435745,0.11583839667190926,30.434765937495488
5,2,3,train,361.0437899464636,-4.0241242351333915,0.1710153799649538,48.00758640624622
10,2,3,train,224.83622039801986,-9.091356378083763,0.18479975522767184,51.560720144203124
3,2,3,train,516.5036097132179,-2.0084004159705655,0.2167536387974969,61.063103465640644
9,2,3,train,240.66011130352547,-8.065620438196424,0.14733045540141318,51.04881601086284
4,2,3,train,454.4717545760293,-3.0172912430150594,0.1521357863581697,37.30746686254916
7,3,4,train,368.82438846039247,-6.020776304681404,0.1035974000776343,32.86855190066067
5,3,4,train,471.02368579441406,-4.011842065379625,0.13719200295101572,40.136776658532604
2,3,4,train,735.0868428508062,-1.0007137239507018,0.21165266180806655,41.55199908849212
3,3,4,train,636.3863284047474,-2.002537278476522,0.2291829053097997,59.31840230638171
8,3,4,train,367.1962249313357,-7.024867778451647,0.14238612773772988,35.38533830030499
6,3,4,train,392.1615409954958,-5.0253739099767625,0.18335441744946146,50.27231721107994
4,3,4,train,625.2429684373279,-3.003052922993929,0.1047956706494072,33.53658159905823
8,3,4,train,289.958812323432,-7.042561640942118,0.14238612773772988,35.38533830030499
5,3,4,train,482.14532477353305,-4.018190195069603,0.13719200295101572,40.136776658532604
8,3,4,train,305.91569893655446,-7.043799520580927,0.14238612773772988,35.38533830030499
9,3,4,train,332.6130488904471,-8.043251204992703,0.1459624898271307,36.466739214078984
3,3,4,train,464.4488386035268,-2.0096450120402434,0.2291829053097997,59.31840230638171
10,3,4,train,249.8190284987899,-9.068558957329817,0.11063653624527728,34.98569481524293
4,3,4,train,517.9608332250307,-3.0053610572749285,0.1047956706494072,33.53658159905823
6,3,4,train,383.9943745799814,-5.029465357748143,0.18335441744946146,50.27231721107994
2,3,4,train,663.5758893376612,-1.002103737673667,0.21165266180806655,41.55199908849212
4,3,4,train,494.77190228098283,-3.0107770957604743,0.1047956706494072,33.53658159905823
5,3,4,train,339.514366202366,-4.0269374510326195,0.13719200295101572,40.136776658532604
5,3,4,train,404.34464828338355,-4.030258438350968,0.13719200295101572,40.136776658532604
9,3,4,train,330.35021312701184,-8.045201509177504,0.1459624898271307,36.466739214078984
8,3,4,train,317.04462787711054,-7.0692801319950735,0.14238612773772988,35.38533830030499
7,3,4,train,297.13289048022165,-6.044630917650755,0.1035974000776343,32.86855190066067
9,3,4,train,284.40249968568054,-8.051305486022919,0.1459624898271307,36.466739214078984
10,3,4,train,275.81229691477995,-9.08433720321308,0.11063653624527728,34.98569481524293
9,3,4,train,295.3560258571432,-8.071599289742414,0.1459624898271307,36.466739214078984
9,3,4,train,246.57056312597015,-8.071900077817494,0.1459624898271307,36.466739214078984
6,3,4,train,339.37475625894086,-5.035038631877437,0.18335441744946146,50.27231721107994
7,3,4,train,336.71034008629647,-6.051106573710628,0.1035974000776343,32.86855190066067
10,4,5,train,332.33921124810047,-9.04502844083701,0.11989815487639027,39.32930656663529
3,4,5,train,606.5924859335762,-2.000909889280966,0.1358936635587401,30.38133551337404
4,4,5,train,543.5206110316509,-3.00672065064902,0.1551225423657692,34.843029090714374
5,4,5,train,601.141711322251,-4.004102147268961,0.2579774934713928,66.40150480386146
6,4,5,train,449.2767953754472,-5.016878167499741,0.10935702354358924,33.833042128562006
9,4,5,train,261.58275475683735,-8.064325306194055,0.1592619226222649,43.96341555027255
8,4,5,train,293.5643922134601,-7.023090107241541,0.19610123253717834,48.878288876485655
7,4,5,train,353.0923749022339,-6.028184429717942,0.18690799664866234,46.12338054659119
6,4,5,train,362.32409074410026,-5.039675294049847,0.10935702354358924,33.833042128562006
8,4,5,train,383.02548653748187,-7.040397504534463,0.19610123253717834,48.878288876485655
2,4,5,train,716.8285659806206,-1.0013024843090288,0.26248883423664887,74.78776798062853
5,4,5,train,472.4508027633743,-4.012907641927158,0.2579774934713928,66.40150480386146
10,4,5,train,304.39579135800085,-9.062691972596447,0.11989815487639027,39.32930656663529
3,4,5,train,571.6226279485505,-2.004184782635956,0.1358936635587401,30.38133551337404
3,4,5,train,539.4587090201167,-2.00455437552853,0.1358936635587401,30.38133551337404
9,4,5,train,248.83179132760637,-8.06850762517157,0.1592619226222649,43.96341555027255
4,4,5,train,464.1565341688698,-3.01052091246647,0.1551225423657692,34.843029090714374
7,4,5,train,296.1142325415195,-6.048947771717767,0.18690799664866234,46.12338054659119
4,4,5,train,456.7535951662307,-3.0120831951939735,0.1551225423657692,34.843029090714374
8,4,5,train,233.41067868401453,-7.076262963841835,0.19610123253717834,48.878288876485655
10,4,5,train,219.42270153900725,-9.09013276337145,0.11989815487639027,39.32930656663529
4,4,5,train,485.54719119560986,-3.0126820022754277,0.1551225423657692,34.843029090714374
2,4,5,train,754.9401172211094,-1.002360367324092,0.26248883423664887,74.78776798062853
5,4,5,train,324.43881822977266,-4.018095392314045,0.2579774934713928,66.40150480386146
4,4,5,train,482.0191660466812,-3.013542436981738,0.1551225423657692,34.843029090714374
5,5,6,train,459.8041051176483,-4.004571543236247,0.18908736106207819,52.16314716651862
9,5,6,train,284.61840448196074,-8.063695423549575,0.1251662279937525,40.515678227891904
6,5,6,train,433.76346359891227,-5.010871188889924,0.1291333202655661,34.96675516977663
7,5,6,train,254.89226653549122,-6.050868073865805,0.1733400023439725,43.608981755305265
10,5,6,train,309.5602412907703,-9.043274424768978,0.17303166941891385,38.74104185033042
8,5,6,train,278.51879133741244,-7.048139427138305,0.1637062888324782,42.652795949460256
6,5,6,train,419.8622273019092,-5.013698289458938,0.1291333202655661,34.96675516977663
4,5,6,train,747.445547299026,-3.0018377067801385,0.11252693851980985,27.411374506274676
10,5,6,train,241.4723961692818,-9.073293957426616,0.17303166941891385,38.74104185033042
3,5,6,train,417.36336668598324,-2.008202620310301,0.220363748957635,55.9225199393817
5,5,6,train,422.0930506359279,-4.011867274700836,0.18908736106207819,52.16314716651862
2,5,6,train,611.4329065629732,-1.0027765370005453,0.178135383364314,40.09723840538993
4,5,6,train,557.822885154105,-3.0064235945846947,0.11252693851980985,27.411374506274676
9,5,6,train,286.51545156932053,-8.067934917456254,0.1251662279937525,40.515678227891904
4,5,6,train,459.8641781146327,-3.011485032451357,0.11252693851980985,27.411374506274676
6,5,6,train,376.56437383989794,-5.023265577707221,0.1291333202655661,34.96675516977663
6,5,6,train,352.58957921894796,-5.030871485179691,0.1291333202655661,34.96675516977663
5,5,6,train,446.8105022519542,-4.01314588252852,0.18908736106207819,52.16314716651862
5,5,6,train,529.230542712954,-4.013804641978,0.18908736106207819,52.16314716651862
8,5,6,train,345.01225526177444,-7.052960773238063,0.1637062888324782,42.652795949460256
5,5,6,train,406.37361832560083,-4.016090931291342,0.18908736106207819,52.16314716651862
2,5,6,train,574.4502523643108,-1.0039377269478924,0.178135383364314,40.09723840538993
5,5,6,train,442.1334065105103,-4.017305689682546,0.18908736106207819,52.16314716651862
10,5,6,train,226.2968812515374,-9.102229597530599,0.17303166941891385,38.74104185033042
5,5,6,train,342.59002557521916,-4.024042014528621,0.18908736106207819,52.16314716651862
8,5,6,train,260.89678721762374,-7.062295406119096,0.1637062888324782,42.652795949460256
8,6,7,train,325.3347171420084,-7.031000767211898,0.19183549828484744,54.23232940316184
4,6,7,train,474.7889081101299,-3.003030216704326,0.1431684590924642,37.85275955588531
5,6,7,train,435.32148646468886,-4.019721307191269,0.14284511543716186,43.080152373671346
8,6,7,train,286.90333557293724,-7.039408579786629,0.19183549828484744,54.23232940316184
8,6,7,train,326.32109259191924,-7.04209389750749,0.19183549828484744,54.23232940316184
9,6,7,train,279.0116525702673,-8.047512185953781,0.13929699968927428,38.766062596450055
9,6,7,train,249.1843082760985,-8.070338812106982,0.13929699968927428,38.766062596450055
10,6,7,train,293.5446237832359,-9.038431974099396,0.11172123457870603,32.8326726704661
4,6,7,train,481.6078431976928,-3.0034982416630602,0.1431684590924642,37.85275955588531
8,6,7,train,228.90716137717243,-7.080766502586927,0.19183549828484744,54.23232940316184
3,6,7,train,749.5489386551004,-2.0001860093912307,0.14353450907050946,35.72994033795637
3,6,7,train,714.5911747400382,-2.000396994779314,0.14353450907050946,35.72994033795637
3,6,7,train,936.8172989611523,-2.000434996493691,0.14353450907050946,35.72994033795637
4,6,7,train,608.0723541771191,-3.004328725927267,0.1431684590924642,37.85275955588531
2,6,7,train,996.9339295971392,-1.0000062646798535,0.21513247897690685,53.99173975805616
10,6,7,train,335.2608812845668,-9.040484058902186,0.11172123457870603,32.8326726704661
6,6,7,train,392.8213547964948,-5.02028519864194,0.06604256050161085,32.349083713895034
7,6,7,train,367.4934966693563,-6.0336181425315125,0.12291590622794667,33.32097014054821
3,6,7,train,774.5587628545237,-2.0012866889703758,0.14353450907050946,35.72994033795637
4,6,7,train,425.85826044197347,-3.01605252074365,0.1431684590924642,37.85275955588531
3,6,7,train,668.0465580121182,-2.002391166213994,0.14353450907050946,35.72994033795637
3,6,7,train,668.2980394514266,-2.0033107343021563,0.14353450907050946,35.72994033795637
6,6,7,train,347.5337898326119,-5.0220756663191555,0.06604256050161085,32.349083713895034
10,6,7,train,262.61712585989386,-9.072946871860543,0.11172123457870603,32.8326726704661
2,6,7,train,911.7505578549559,-1.0002095019016608,0.21513247897690685,53.99173975805616
2,6,7,train,682.0757349759497,-1.0002838479217546,0.21513247897690685,53.99173975805616
7,6,7,train,352.7839014366678,-6.033873002147761,0.12291590622794667,33.32097014054821
7,6,7,train,305.98785146046964,-6.049420697241867,0.12291590622794667,33.32097014054821
6,6,7,train,353.97267132709936,-5.028469641797873,0.06604256050161085,32.349083713895034
5,6,7,train,351.85610805295653,-4.026375458971374,0.14284511543716186,43.080152373671346
5,6,7,train,342.9655849276478,-4.034264127894561,0.14284511543716186,43.080152373671346
2,6,7,train,595.538405202936,-1.0031233700022244,0.21513247897690685,53.99173975805616
10,7,8,train,310.65876909700984,-9.0356427744091,0.09347655367352736,27.80500485237515
3,7,8,train,797.3487684240837,-2.0003669239540334,0.15191018435786902,34.53387235562412
5,7,8,train,501.6549573476483,-4.012152137438215,0.17413103347885936,47.620477727574276
7,7,8,train,300.0975079840992,-6.039398973218102,0.15024020685730186,36.76851289147028
4,7,8,train,453.3161476157186,-3.0134156004174093,0.1422178994628594,40.986232361784175
2,7,8,train,814.3280799085312,-1.000378291082388,0.20941646432736472,48.42413139054211
8,7,8,train,320.5375893319772,-7.022237376737539,0.1323946698119793,39.047294177248574
10,7,8,train,263.8502478467904,-9.060683742467576,0.09347655367352736,27.80500485237515
3,7,8,train,557.6022328235308,-2.001643311344458,0.15191018435786902,34.53387235562412
8,7,8,train,284.3738720246782,-7.049156361022297,0.1323946698119793,39.047294177248574
9,7,8,train,302.60262756245555,-8.048125103274016,0.13007107435084606,35.066778936641114
5,7,8,train,374.37039941497244,-4.029025113253645,0.17413103347885936,47.620477727574276
3,7,8,train,550.3869826191418,-2.0039589842609167,0.15191018435786902,34.53387235562412
6,7,8,train,420.06908605143997,-5.010626261774734,0.10633640655349427,30.9399627398837
10,7,8,train,250.72542909915697,-9.091601775332832,0.09347655367352736,27.80500485237515
6,7,8,train,309.4080266050349,-5.0242319533870345,0.10633640655349427,30.9399627398837
9,7,8,train,247.5562185798752,-8.068479367087424,0.13007107435084606,35.066778936641114
6,7,8,train,416.62697114836254,-5.024899570828123,0.10633640655349427,30.9399627398837
2,7,8,train,742.1050505247549,-1.0007630225835709,0.20941646432736472,48.42413139054211
7,7,8,train,388.0168707274125,-6.041462760119932,0.15024020685730186,36.76851289147028
8,7,8,train,255.31993032941224,-7.069550267444468,0.1323946698119793,39.047294177248574
3,7,8,train,462.2905968694856,-2.0083458103545238,0.15191018435786902,34.53387235562412
9,7,8,train,288.1275968280322,-8.074911716994936,0.13007107435084606,35.066778936641114
