k,run_id,random_seed,dataset,inertia,ssd_exp,silhouette,calinski_harabasz
9,0,1,eval,25303.757513285796,-8.000000336934884,0.12194991193991643,377.9957761605628
2,0,1,train,97617.97876201509,-1.0000000000125149,0.2665060115570356,3033.1477747338567
2,0,1,eval,32094.807411366142,-1.0000000000125149,0.27744489034075176,1069.050101417033
3,0,1,train,90079.88240807333,-2.0000000006684933,0.2144464535134867,2016.8296787319753
3,0,1,eval,29155.78460554616,-2.0000000006684933,0.22005566376883495,692.4104794145362
5,0,1,train,66691.63608477917,-4.000000205000904,0.14897817043712872,1851.7063668161454
5,0,1,eval,21775.48286700104,-4.000000205000904,0.14724632870497525,625.0840871198261
3,0,1,train,82220.4812429771,-2.00000000416618,0.2144464535134867,2016.8296787319753
3,0,1,eval,26815.10713477147,-2.00000000416618,0.22005566376883495,692.4104794145362
10,0,1,train,56158.164896419534,-9.000004060836455,0.11991821256927244,1314.680069660835
10,0,1,eval,18098.261005324715,-9.000004060836455,0.11599634973387293,427.8426920148753
8,0,1,train,63751.39313723888,-7.000010607312984,0.17081700137921624,1630.1763176302686
8,0,1,eval,20579.076045882484,-7.000010607312984,0.1660352485365007,538.9325797140605
7,0,1,train,72037.31862268169,-6.000000957137903,0.15067370787270215,1649.4853680924584
7,0,1,eval,23445.59624418124,-6.000000957137903,0.155486360136775,558.2070229420772
4,0,1,train,75387.75791821585,-3.000000034195452,0.19934133929284414,2236.9678725585827
4,0,1,eval,24521.111494759767,-3.000000034195452,0.19658781077486873,749.2580973290312
2,0,1,train,122601.90364097008,-1.000000000016977,0.2665060115570356,3033.1477747338567
2,0,1,eval,39995.832024317264,-1.000000000016977,0.27744489034075176,1069.050101417033
10,0,1,train,46403.68608045814,-9.000031278945325,0.11991821256927244,1314.680069660835
10,0,1,eval,15218.664207317266,-9.000031278945325,0.11599634973387293,427.8426920148753
9,0,1,train,61841.194809752655,-8.00000692939101,0.13022252852850932,1150.0176697855804
9,0,1,eval,20254.99200548225,-8.00000692939101,0.12194991193991643,377.9957761605628
3,0,1,train,86008.52800203301,-2.0000000099003588,0.2144464535134867,2016.8296787319753
3,0,1,eval,27689.61207795774,-2.0000000099003588,0.22005566376883495,692.4104794145362
7,0,1,train,57428.51326812155,-6.0000028691469804,0.15067370787270215,1649.4853680924584
7,0,1,eval,18713.996649585795,-6.0000028691469804,0.155486360136775,558.2070229420772
2,0,1,train,94321.78220167705,-1.0000000000932627,0.2665060115570356,3033.1477747338567
2,0,1,eval,30829.082684225024,-1.0000000000932627,0.27744489034075176,1069.050101417033
