k,best_labels,best_centroids,best_cost,silhouette,ch_score,inertia
3,[2 1 1 ... 2 2 2],"[[-0.59058801  1.69922912  0.68571321  0.47843049 -0.23951544 -0.19287241
   5.98313869  2.30334408]
 [ 0.06186414 -0.27539133 -0.0203991   0.54714809  0.54670654  0.79640846
   0.70322768  1.36179428]
 [-0.36550055 -0.40208942 -0.03637071  0.81643558  0.89129037  0.38197099
   4.28123101  1.61573943]]",47694.37789497489,0.278740286601176,4019.8786103398697,47694.377894974954
3,[0 2 1 ... 0 0 0],"[[-0.43536546  0.30196077  0.14942941  0.8415057   0.20760487  0.74529078
   4.81345556  1.48083704]
 [ 1.05498786 -0.73291777 -0.03908472  1.00171636  1.17973761  0.83164499
   0.09383499  0.50533653]
 [-0.181786    0.28965     1.09894937  1.00581581  1.07168713  0.80329301
   0.45052715  0.73527887]]",53241.10646528486,0.2093802415824022,3800.05537098808,53241.10646528492
3,[0 2 1 ... 0 0 0],"[[-0.15791181 -0.09752481  0.57431735  0.74668568  0.38241044  0.21419093
   4.74469288  1.7366854 ]
 [-0.12317901 -0.2696737  -0.13025056  0.36151376  0.04958972  0.32178378
   0.70784155  1.56819071]
 [ 0.6684395   0.01227599 -0.16402221  0.77875577  0.80977588  1.10312501
   0.13417127  0.17400705]]",47187.25026455506,0.24107600481805633,4066.6156091089692,47187.25026455513
3,[1 0 0 ... 1 1 1],"[[ 0.3920211  -0.28280146  0.74080978  0.65774247  0.42215685  0.8933058
   0.72549018  1.11995009]
 [ 0.52325619 -0.5891482  -0.36305377  0.49057054  1.3924217   0.33270132
   5.21475033  1.41586345]
 [-0.63594887  1.16649146 -0.05253425  0.80847227  0.71308164  0.27996965
   1.27936777  1.92085091]]",51889.37546287676,0.2307160751273307,4035.4750131764863,51889.375462876655
3,[1 0 0 ... 2 1 0],"[[ 0.15310086 -0.03856414  0.16234037  0.64258946  0.83176465  0.87606274
   1.01369697  0.99422215]
 [-0.31838925 -0.45506059  1.63466755 -0.10098707  0.05663447  0.42818624
   6.63505525  1.17637974]
 [ 1.3986202  -0.50484206 -1.46499786  0.31148143  0.26099291  0.86890797
   6.41955036  1.97712386]]",52121.9279856763,0.3209447819114443,4073.424374067584,52121.92798567601
3,[0 2 2 ... 0 0 0],"[[ 1.18955811e-01 -7.77104247e-02  1.34314280e-01  4.53938300e-01
   6.02600002e-01  5.97700899e-01  5.76761184e+00  1.72632262e+00]
 [-9.18554140e-02  1.92638475e+00 -2.53633327e-01 -3.55935231e-01
   5.77584225e-01  9.65298366e-01  8.95262434e-01  1.37189084e+00]
 [-3.16436924e-01 -5.07642300e-01 -5.92408834e-05  5.67828003e-01
   6.91013108e-01  5.49813475e-01  1.10051504e+00  1.26837915e+00]]",45224.7515304368,0.25547437760788283,4171.517211858985,45224.75153043684
3,[1 0 0 ... 1 1 1],"[[ 0.1739362   0.44856273 -0.01051185  0.37909081  0.63967438  0.48672462
   1.12196662  0.66910129]
 [-0.1909403   0.01144628 -0.01121358  0.63359441  0.58071641  0.54558081
   5.31376885  1.54823202]
 [ 1.54914633 -0.41347454 -0.75464084  0.47182874  0.28528742  0.25830531
  -0.37971732  3.36839608]]",49657.21194103683,0.14981362111185886,3658.5143898120955,49657.21194103709
3,[1 0 0 ... 1 1 1],"[[ 0.63725502  0.03378248 -0.24187442  0.27367909  0.66665793  1.13887551
   0.24884842  1.03159855]
 [-0.33094663  0.42534778  0.88948554  1.00174462  0.5108471   0.47664216
   5.31825996  1.69825313]
 [-0.19976251  0.68202712  0.15497806 -0.02437425  0.34650922  1.24587428
   2.86666508  2.27070691]]",49115.99139308086,0.21464038897564128,4396.296691144356,49115.99139308099
3,[1 0 0 ... 1 1 1],"[[ 0.33065134  0.17380485 -0.36549456  0.92446429  1.10100562  0.85718993
   2.1485017   1.47199566]
 [-0.42463845 -0.18879891  0.52919259  0.85834184  0.48842974  0.05645338
   5.31723514  1.7155954 ]
 [ 0.14892712 -0.31909902 -0.50280327  0.54545317  0.49059298  0.67277492
   0.41728972  0.94401844]]",45384.20708000879,0.23380297733141056,4598.2837724159635,45384.20708000898
3,[0 1 1 ... 0 0 0],"[[-0.14819841  0.20547444  0.20755394  0.59371444  0.40612372  0.41866633
   5.45158022  1.70917193]
 [-0.03921206 -0.29829835 -0.24034699  0.70489931  0.53486992  0.86170837
   0.98087141  0.84432894]
 [-0.58241722  2.3170631  -0.67801102 -0.41338594 -0.0487986  -0.56871832
   2.18583201  2.09465497]]",47080.229354589734,0.25036164390771304,3905.0511532523196,47080.22935458971
4,[0 2 2 ... 0 0 0],"[[-0.08310795 -0.52562126  0.15249915  0.37428346  0.85317227  0.53311338
   4.15256921  1.39111619]
 [-0.08029465  1.15434442 -0.61111281  0.6202212  -0.2224401   0.90364442
   5.57962671  0.4927508 ]
 [ 0.06014539  0.01724492 -0.55313162  0.33607586  0.72545339  0.8174506
   0.45608095  1.19435423]
 [-1.04834222 -0.97245581  3.59521196  0.75578356 -0.09546582  0.29825252
   4.91618861  3.61594748]]",46797.003174113175,0.2629986897580998,3216.12811492256,46797.00317411309
4,[1 0 2 ... 1 1 0],"[[ 0.13999979 -0.84776844  0.83661876  0.20419555  0.78856821  0.45010215
   3.24447265  0.01562779]
 [ 0.01405344 -0.0842315   0.26320398  0.68433468  0.37262266  0.25433092
   4.83856309  1.56624865]
 [ 0.50357704 -0.14323667 -0.19524561  0.77022438  0.76809134  0.95312401
   0.21151122  1.57823548]
 [-1.17099037  2.02443123  2.07840417  0.47087713 -0.79283776  0.3961145
  -0.46637324  1.85430383]]",46556.11125106652,0.18713228909098367,2890.3037931555,46556.1112510666
4,[2 3 0 ... 2 2 3],"[[-0.41061042 -0.09751971 -0.40646427  0.56771893  0.66084045  0.83084008
   0.61792387  1.3490036 ]
 [-1.21160409  0.04820856 -0.35822176  0.30626557  0.83500767 -0.343908
   2.61341275  2.05055009]
 [-0.36826162 -0.63727332  0.42617382  0.42818272  0.56039761  0.15407204
   5.52501399  2.01469611]
 [ 0.02069264 -0.17543162  0.76093331  0.62783917  0.81182603  0.89062385
   3.19190059 -0.29372252]]",44479.851340281566,0.2067423389781854,3434.8638128591283,44479.85134028157
4,[0 2 2 ... 0 0 0],"[[-1.05846842  0.42845539  0.44113436  0.3716899   0.27543747  0.62512575
   4.65902878  1.95771875]
 [ 2.64144898  0.31213775 -0.52218148  0.79671515  0.85971494  0.59229493
   6.70113035  1.80209722]
 [ 0.19125762 -0.34464818  0.01971783  0.36900221  0.89471433  0.84602056
   0.40094718  0.9921654 ]
 [-0.16695818  2.24127304 -0.26727377 -0.05103656 -0.02738511  1.33888173
   0.21754405  2.15328524]]",41018.15049214457,0.2351175650535664,3728.0387523289737,41018.150492144574
4,[3 1 1 ... 3 3 3],"[[ 0.99319793  0.81948632 -0.91134365  0.21610166  1.71428173  0.41292447
   7.05024125  1.97266241]
 [ 0.13084604  0.38124311 -0.54540788  0.43508778  0.86321586  0.75815492
   0.45523697  1.04506576]
 [ 2.78277311 -0.42814227 -0.32011593  0.11794862 -0.58177404  0.11105184
   2.62673696  1.32691555]
 [-0.57510828 -0.07685936  0.21796592  1.05028327  0.77192502  0.30768576
   3.6489607   1.34092089]]",43562.42609931885,0.2466197814038598,3534.912575098887,43562.42609931869
4,[0 2 3 ... 0 0 0],"[[-0.10752632  0.0586627  -0.23102862  1.03744406  0.32841998  0.22188873
   5.30398684  1.47353322]
 [-0.62514679 -0.06831586 -0.892727    1.57186652 -0.12586349  1.28950125
  -0.65818195  1.95027535]
 [ 0.32364063  0.02763695  0.07984818  0.35041211  0.73621787  0.94155981
   0.7434135   1.18197937]
 [ 1.00559569  0.39511194 -0.61960425  0.68297125  0.66461076  0.25781505
   3.19229871  0.94971666]]",45069.61537655699,0.1205071247492315,3176.445348908119,45069.61537655695
4,[3 2 2 ... 3 3 3],"[[-0.35208138  1.50919244 -0.59377788  1.24317797 -0.37159161  0.66586635
   7.20769478  0.64869046]
 [ 2.38277455 -1.47735952 -0.23137365  0.87101643  0.86899712 -0.17863408
   7.98063053  0.48906812]
 [-0.21270918  0.18687406 -0.40701721  0.20480607  0.4279737   0.73926681
   0.6682964   1.58110588]
 [-0.47341001 -0.45465567 -0.02786699  0.11790146  0.70233097  0.50133861
   3.87363374  1.69813985]]",44577.899157079024,0.30680910849804066,3731.638222122693,44577.899157079184
4,[0 1 1 ... 0 0 1],"[[-0.66853453  1.1599166  -0.874478    1.11745854  0.33103175  0.51450594
   6.81742086  2.14873316]
 [-0.31748811 -0.05985534 -0.37163733  0.91911355  0.81291835  0.46514083
   1.26151993  1.2400234 ]
 [ 3.20333821 -0.74808592 -0.93686589  1.31841489  0.99298732  1.55972219
  -0.14616303  1.67174162]
 [ 0.97161403 -0.15319197 -0.22876888  1.32158284  1.26438947  0.38369973
  -0.19224413  0.24363651]]",58989.20581423158,0.14817964204292913,2601.9943700399217,58989.205814231376
4,[3 0 0 ... 3 3 2],"[[ 4.02109452e-01 -1.47525854e-01  1.94895368e-01  7.08119732e-01
   1.01711227e+00  5.70962356e-01  1.88893153e-01  7.98190418e-01]
 [ 1.63825220e+00 -3.89668926e-01 -8.41686874e-01 -2.07725369e-03
   1.12547922e+00  1.51323423e+00  6.84746091e+00  1.49668868e+00]
 [-2.63684606e-01  1.74901765e-01  5.64533629e-01  8.50729680e-01
   7.51636171e-01 -3.43255931e-01  3.97637376e+00  1.32516117e+00]
 [-1.61797825e+00  3.54983868e-01  1.54060975e-01  2.52200569e-01
  -2.17349989e-01 -2.27838281e-02  4.67778396e+00  2.17113943e+00]]",42545.79498875057,0.27524955143069446,4046.423736140949,42545.79498875041
4,[2 0 0 ... 2 2 2],"[[ 0.50208625 -0.56208504 -0.61858588  0.51349846  0.21301336  0.55449913
   0.8826352   1.19365879]
 [-0.61655066  1.40340867  0.20350375  0.7659689   0.47215207  0.79018557
   0.81248188  1.98601242]
 [-0.05056897  0.0182299   0.8777916   0.73761325  0.40606871  0.74834317
   5.80202871  1.02947031]
 [-0.06045988  2.68464723  0.91018782  0.60568448 -0.46699147  1.01692733
   1.91604117  2.65785096]]",48752.0865904544,0.18747753778415358,2821.743843027684,48752.086590454346
4,[2 3 2 ... 2 2 2],"[[-1.1748161  -2.1377501   2.73393712  0.59970195 -0.04900961  0.67592443
   7.31871875  2.63691973]
 [-0.00803917 -0.94137976  2.00698569  0.30953328  0.82096529  1.44323868
  -0.43032835  0.92412351]
 [ 0.28087607 -0.2810403   0.02915435  0.64568513  0.57452195  0.13710677
   4.54807019  1.47244097]
 [ 0.19869815  0.01001999  0.09121451  0.57601027  1.00918202  0.40767322
  -0.06123983  0.33911786]]",52791.758428536814,0.1388500450684545,2508.071789913607,52791.75842853679
4,[1 0 0 ... 1 1 1],"[[ 0.27596517 -0.19592827 -0.16807708  0.29630026  0.65711034  0.609999
   0.89049454  1.15596476]
 [-0.18654967 -0.25959253  0.07614986  0.69067818  0.72240404  0.34784201
   5.16490224  1.26332392]
 [-1.34227299  1.11504134 -0.8800024   0.65785557  0.39844217  1.96145142
   2.72160329  1.53410371]
 [-1.08872839  2.30029315  1.02351574 -0.29822814  0.03282868  0.36751957
   3.89040585  1.71093102]]",46000.076345015244,0.16484095520665426,2787.1820733600844,46000.07634501511
4,[1 3 2 ... 0 1 2],"[[-1.88917229 -1.73253097 -0.17048894  0.81506138  0.5102898   0.32696529
   5.09793636  2.13473704]
 [-0.37062905  0.21536754  0.41297228  1.0230324   0.78195212 -0.16844263
   5.56005376  2.09870824]
 [-0.20749289 -0.24408714  0.01089827  0.8111232   0.06218114  0.28508553
   3.06901972  1.91752738]
 [ 0.10583032  0.27147496 -0.29991718  0.44994232  0.43517267  0.88860538
  -0.01762708  0.68252951]]",46287.921493164016,0.144185774494651,3315.1458607847253,46287.92149316387
4,[0 2 1 ... 0 0 1],"[[-1.07211662 -0.56673437  0.83650015  0.27005969  0.25026104  1.14174925
   4.12854544  1.97080235]
 [ 1.19104393 -0.31454799 -0.16363351 -0.07583991  1.47398082  0.60556423
   2.87631567  0.57500025]
 [-0.13382478  0.09901536 -0.24832659  0.28992436  0.96041389  0.95559419
   0.45268174  0.83702599]
 [ 1.71702817 -0.44583439 -0.60270216 -0.31319164  0.69321325  0.4731785
   6.94501818  1.41399914]]",41838.76579129616,0.2636974103717085,4055.924063373049,41838.7657912962
4,[1 0 0 ... 1 1 1],"[[ 0.13594689 -0.70481114 -0.1662243   0.57343605  0.72730749  0.70571656
   0.10395904  0.99367734]
 [ 0.18832037  0.40070139  0.12928385  1.07925887  0.70634202  0.61704885
   5.05959512  1.27461205]
 [ 0.02400416  2.02918793 -1.12988071 -0.18772778  0.26814968  0.22452035
  -0.36156686  1.37176983]
 [ 1.6648877  -0.66368121  2.01133741  1.33243771  1.45982255  1.24912167
  -1.31431288 -0.4591912 ]]",48773.66259284611,0.21885900941368477,2707.334724316198,48773.662592846
4,[0 1 1 ... 0 0 0],"[[-0.84032685 -0.53289301 -0.12106927  0.98312249  0.6457836   1.00210044
   4.24676242  0.87534663]
 [-0.03766334 -0.04456034 -0.49550152  0.57420229  0.50465662  0.56006748
   0.77229119  1.43824447]
 [ 2.2520797  -0.88424822 -1.29623283  1.71446499  1.16804626  1.26028478
   5.2227553   1.63055762]
 [-0.30499515  0.16421049 -0.99280457  1.41286863  1.08323058 -0.02181585
   7.29914784  1.49946179]]",46145.095146873966,0.2914904588292879,3566.8754289401363,46145.09514687401
4,[2 1 3 ... 2 2 0],"[[-5.42314070e-01 -1.11058345e+00 -6.62048389e-01  1.68425082e+00
   1.30002609e-01  9.64039124e-01  3.09597668e+00  1.14705416e+00]
 [ 4.65159162e-01 -1.26277921e-01 -3.70874124e-01  3.93017120e-01
   2.32572251e-01  7.43497637e-01  2.17450605e-01  9.76499349e-01]
 [-1.58382617e-03 -1.52192489e-02  6.27998508e-01  6.19488084e-02
   5.72269240e-01  3.96692346e-01  5.38268601e+00  1.39434803e+00]
 [ 1.22382091e-01  5.88756199e-01 -9.30281479e-01  1.26804641e+00
   7.20287466e-01  1.20451653e+00  2.39269951e+00  1.98168111e+00]]",46459.83528609893,0.1594875731415535,3114.7093860809177,46459.835286098925
4,[1 0 0 ... 1 1 1],"[[ 0.39759984  0.05242383 -0.59692459  0.52441755  0.56411789  0.67781
   0.72162522  0.86351189]
 [-0.18240228  0.22279733  0.37667856  0.56509115  0.47042628  0.71664262
   4.06691118  1.70519226]
 [-0.03633323  0.39886299  1.23948553  1.02248028  0.67993285  0.74702841
   1.05144746  2.31352533]
 [ 2.10188167  0.44161108 -0.49900097  1.07348807  0.90286545  1.45412065
   6.50729139  1.91737731]]",41716.575726035524,0.22389897249260035,3750.321161670188,41716.57572603545
4,[2 0 0 ... 2 2 3],"[[ 0.13028672 -0.09951411 -0.20980676  0.43008379  1.02953866  1.07996436
   0.30959672  1.05090473]
 [ 0.49102534  0.56292458  0.18247904  0.69219292  1.0377737   0.91006168
   7.6223216   1.82714022]
 [-0.56221462 -0.55083771 -0.10630583 -0.03444151  0.25780607  0.46379921
   3.6578911   1.82911347]
 [ 0.99473901 -0.55078515  0.72583374  1.17424149  1.07430983  0.60375012
   3.66355218  0.29815538]]",41506.2618452057,0.2710743535849383,3866.636684550998,41506.261845205794
4,[1 3 3 ... 1 1 1],"[[ 0.01617292  1.20667001 -0.14583145  1.23537503  0.85229774  1.28319292
  -0.34632582  0.5910239 ]
 [-0.15742733  0.00731307  0.47613799  0.70936769  0.66799189  0.72576105
   5.47549228  1.41237745]
 [-0.06762443 -0.43473289 -0.29534893  0.37999927  0.25900782  0.6668252
   0.2584125   1.2471866 ]
 [ 0.27141406  0.65692491 -0.51308148  0.79947236  0.64016871  0.39312086
   2.68001418  1.06810729]]",41893.70776645245,0.18792195024430694,3416.826864138699,41893.70776645256
4,[1 2 0 ... 1 1 3],"[[-0.09080362 -0.21768194 -1.14368836  0.50330151 -0.06675234  1.13999615
   0.22624496  2.18228845]
 [-0.1139467   0.2745319   0.51554851  0.7108936   0.18113174  0.37412582
   5.01873052  1.64081316]
 [ 0.47134303 -0.04663314  0.80443254  0.4373323   0.79562463  0.55806169
   0.95236061 -0.06297635]
 [-0.57726078 -1.05651839  0.02716362  1.0655078   0.52378638 -0.8197243
   3.11983016  1.14507954]]",45998.81362756439,0.15009238115309367,3217.5404093462726,45998.81362756413
4,[2 1 1 ... 2 2 0],"[[ 0.89224242 -0.07907094 -0.34759464  1.00155493  0.72991995  0.82991987
   4.83585949  1.09261425]
 [ 0.04920742  0.04657133 -0.30132627  0.46132816  0.37585723  1.00370162
   0.74269867  1.49948135]
 [-0.82870441  0.32558881  0.52571607  0.67568542  0.41241826  0.37054302
   5.04354096  1.74937651]
 [ 0.17680467 -0.88390214  0.24451072  0.68088689  1.09672485  1.03269946
  -0.60171597 -0.31409402]]",40944.907464056654,0.17219624498487943,3380.220489534992,40944.90746405651
4,[2 0 0 ... 2 2 1],"[[-0.19134434 -0.2988004  -0.81521878  0.25136394  0.55658535  1.27721201
   2.38427311  1.12677449]
 [ 0.80095465 -1.03809164  0.64640077  1.12249534  0.70932955  0.83814668
   3.20151216  1.21668513]
 [ 0.61262849 -0.13515501 -0.11126591  0.70718799  0.758644    0.43590837
   5.51521673  1.87954594]
 [ 0.03525872  0.52808775  0.07532794  0.35553267  0.74636421  0.54583968
  -0.18251321  1.52182606]]",44807.787999049026,0.18113613465037265,3381.6157720532474,44807.787999049106
4,[2 3 3 ... 2 2 3],"[[ 1.30397365e+00  1.67466258e+00 -2.18522720e-01  1.12716071e+00
   7.81793931e-02  1.66543629e+00 -3.20165079e-01  1.22899879e+00]
 [ 8.14527629e-02 -1.30355937e-01  1.83203450e-01  4.47799761e-01
   1.44272549e-01  1.05560300e+00  6.83695687e-02  1.25825599e+00]
 [-1.64333875e-01  1.19442351e-01  4.90537273e-01  7.03131229e-01
   2.08847118e-01  7.27025929e-01  5.80840472e+00  1.66153633e+00]
 [-4.35962160e-01  4.16959847e-01 -4.09945038e-03  3.62676578e-01
   8.13246583e-01  5.66515119e-01  2.45763706e+00  1.06356095e+00]]",42957.20937619281,0.2021018542730428,3418.4198680273125,42957.20937619285
